,TOTAL MX
741,600.0000000000001
742,1778.28
743,0.0
744,452.4
745,81.11
746,1050.0
747,1321.3799999999999
748,175.0
749,1241.2
750,230.63
752,0.0
753,4130.95
754,0.01
755,1809.6
756,4640.0
757,2050.9399999999996
758,125.41
759,465.0
760,891.82
761,1409.4
762,2839.68
763,6131.76
764,0.0
765,178.0
766,375.67
767,4904.48
768,3161.7
769,7905.4
770,311.6
771,580.0
772,4269.96
773,2728.32
774,0.0
775,0.0
776,0.0
777,0.0
778,1906.67
779,7258.03
780,0.0
781,320.74
783,0.0
784,0.0
785,0.0
786,205.72
788,854.92
789,0.0
790,423.17
791,983.33
792,3155.7799999999997
793,5052.96
794,2606.52
795,1512.6399999999999
796,1131.0
797,5684.0
798,5928.59
800,0.0
801,200.0
802,42.92
803,945.31
804,700.0
805,0.0
806,0.0
807,0.0
808,479.91
810,107.31
811,2876.8
812,4849.2
813,2943.5
815,0.0
816,0.0
817,104.11
818,649.6
819,2826.46
820,301.58000000000004
821,391.92999999999995
822,6348.0
823,175.0
824,0.0
825,0.0
826,0.0
827,1044.0
828,0.0
829,0.0
830,3540.32
831,1624.0
834,247.52
835,2951.04
836,2088.0
837,395.56
838,2540.69
839,0.0
840,1701.72
841,2706.2799999999997
843,406.0
844,1512.6399999999999
845,754.0
846,1160.0
847,0.0
848,340.28
849,22.0
850,2505.6
851,7258.05
853,0.0
855,1789.62
856,3567.87
858,273.16
859,107.31
860,7864.8
861,6107.63
862,1327.04
863,187.92000000000002
864,1502.66
868,2784.0
869,245.0
870,391.92999999999995
871,0.0
872,0.0
873,0.0
874,0.0
877,4910.28
878,5199.12
881,0.0
882,2523.42
883,1387.89
884,471.79
885,18.56
886,18.56
888,0.0
889,1529.51
890,2030.0
891,290.0
892,620.6
893,1533.52
894,1392.0
895,1249.32
896,0.0
897,2088.0
898,254.06
899,157.48
900,684.4
901,2020.72
902,0.0
903,843.3199999999999
904,125.0
905,210.21
906,882.06
907,511.0
910,70.0
911,552.16
912,70.85
913,4790.8
914,4151.99
915,3164.48
916,943.6300000000001
917,1142.63
918,600.0
919,2052.58
920,2248.42
921,0.0
922,1695.81
923,272.13
924,7653.93
928,2373.51
931,1912.9
932,0.0
933,0.0
934,18.53
935,239.04
936,1113.6
937,0.0
938,0.0
939,70.0
940,2137.53
941,352.32000000000005
942,942.5
944,0.0
945,571.0
949,193.44
950,5685.849999999999
951,0.0
952,2655.0699999999997
953,1089.4
954,469.8
956,4962.48
957,4766.5
958,4766.5
959,0.0
961,278.24
962,2262.0
963,0.01
964,105.0
965,64.83
967,0.0
968,150.8
969,1735.01
970,7198.82
971,7258.0599999999995
972,1287.6
975,306.96000000000004
976,399.63
977,4872.0
978,2606.52
982,113.05000000000001
983,0.0
984,510.01
985,568.4
986,226.2
987,0.0
988,5220.0
989,0.0
990,1214.32
991,18.32
992,754.0
993,3456.0
994,860.72
995,4141.2
996,3.55
997,0.0
998,0.0
999,691.36
1000,876.43
1001,784.82
1002,784.82
1003,784.82
1004,6199.92
1005,5976.52
1006,6348.0
1007,0.0
1008,4766.5
1009,0.0
1010,230.63
1011,0.0
1012,0.0
1013,0.0
1014,3535.68
1015,1321.3799999999999
1016,0.0
1017,975.0
1018,0.0
1019,0.0
1020,4640.0
1021,514.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,200.22
1027,391.92999999999995
1028,335.39
1029,0.0
1030,0.0
1031,0.0
1032,232.0
1033,1798.0
1034,2685.4
1035,0.0
1036,1467.63
1037,7258.0599999999995
1038,5425.83
1042,2.9
1043,0.0
1044,1906.67
1045,1143.88
1046,5080.8
1048,2226.75
1050,1671.27
1051,0.0
1052,0.0
1053,3071.1
1054,6709.29
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,1666.92
1062,2753.84
1063,0.0
1064,0.0
1065,0.0
1066,1552.0
1067,553.01
1068,3719.7
1069,0.0
1070,0.0
1071,3190.0
1072,7770.84
1073,67.33
1074,979.02
1075,981.36
1076,0.0
1077,113.04
1078,5799.889999999999
1079,2738.13
1080,382.81
1081,0.0
1082,0.0
1083,124.27
1084,202.8
1085,0.0
1086,413.54
1087,5265.9400000000005
1088,7258.0599999999995
1089,184.5
1092,0.0
1093,3480.0
1094,1648.09
1095,945.42
1096,945.42
1097,391.92999999999995
1099,3301.77
1100,0.0
1101,0.0
1103,690.11
1104,7731.86
1105,7166.71
1106,1160.0
1107,0.0
1108,2248.42
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,2052.58
1114,625.24
1115,11.48
1116,67.35
1117,0.0
1118,6914.51
1120,290.0
1121,55.29
1123,950.11
1124,0.0
1126,105.0
1127,4918.4
1128,2349.99
1130,1669.0
1131,4685.0
1132,279.0
1133,0.0
1134,5000.0
1135,4790.8
1136,0.0
1137,1098.27
1138,0.0
1139,232.0
1140,2965.71
1141,22.0
1142,0.0
1143,0.0
1144,4100.0
1145,568.4
1146,330.6
1147,269.8
1148,0.0
1149,0.0
1150,6199.92
1151,5976.52
1153,39.7
1154,0.0
1156,0.0
1157,0.0
1158,0.01
1159,798.99
1160,899.0
1161,798.99
1162,798.99
1163,5000.01
1164,2247.27
1165,2998.6
1166,4389.02
1167,3348.0
1171,157.0
1172,0.01
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,195.99
1178,2750.36
1179,0.0
1182,1321.3799999999999
1183,80.16
1184,0.0
1185,0.0
1186,1160.0
1187,113.77
1188,18.65
1190,0.0
1191,236.57
1192,4090.74
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,395.68
1200,0.0
1201,0.0
1202,-2070.1
1203,-1178.57
1204,86.0
1205,733.6800000000001
1206,396.72
1207,495.0
1208,274.48
1209,3060.76
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,5406.39
1215,-1170.55
1216,1178.57
1217,5307.41
1218,1276.0
1219,1044.0
1220,4640.0
1221,253.14
1223,202.8
1224,3357.12
1226,1680.6499999999999
1227,240.11
1228,398.99
1230,0.0
1231,2731.2200000000003
1232,0.0
1233,0.0
1237,79.09
1238,696.0
1240,0.0
1241,0.0
1242,0.0
1244,173.70000000000002
1245,3596.0
1246,1856.0
1247,0.0
1248,2227.56
1249,2856.41
1250,226.32
1251,951.2
1252,1062.57
1253,3336.55
1254,1189.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,7.99
1261,0.0
1262,0.0
1263,7468.92
1264,1999.0
1266,210.0
1267,405.42
1268,13.35
1269,3700.7000000000003
1271,0.0
1272,2218.07
1273,323.98
1274,22.0
1275,305.34000000000003
1277,1276.0
1278,0.0
1279,94.06
1280,398.99
1281,1085.76
1282,0.0
1283,2066.75
1284,2289.01
1285,125.0
1286,51.89
1287,419.0
1288,132.26
1289,4874.95
1290,1044.6399999999999
1291,2861.52
1292,0.0
1293,0.0
1294,217.2
1295,3434.76
1296,905.96
1297,205.0
1298,3348.0
1299,1583.0
1300,1264.0
1301,113.0
1302,113.0
1303,0.0
1304,0.0
1305,0.0
1306,150.0
1307,303.02000000000004
1308,614.6
1309,3700.7000000000003
1312,64.0
1313,0.0
1314,0.0
1315,648.82
1316,219.59
1317,2372.57
1318,0.0
1319,748.22
1321,100.84
1322,107.31
1324,2000.0
1325,4942.08
1327,91.94
1328,5685.849999999999
1329,192.08
1330,1350.01
1331,1900.0
1332,568.4
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.01
1340,6500.0
1341,1392.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,1115.18
1347,116.0
1348,302.85999999999996
1349,998.76
1350,348.0
1351,0.0
1352,3336.55
1353,1450.0
1354,202.8
1355,43.5
1356,6264.0
1357,338.08
1358,338.08
1359,175.0
1360,0.0
1361,0.0
1362,0.0
1363,18.14
1364,4593.6
1365,3410.4
1366,0.0
1367,0.0
1368,0.0
1369,5202.6
1370,3416.1
1371,0.0
1374,0.0
1375,1840.99
1376,141.4
1378,550.6800000000001
1379,500.0
1380,66.61
1381,0.0
1382,35.0
1386,1931.15
1387,2446.7200000000003
1388,549.01
1389,241.87
1390,899.0
1392,2998.6
1393,696.0
1394,0.0
1395,0.0
1396,3833.0
1397,3348.0
1398,5359.2
1399,275.92
1400,42.660000000000004
1401,0.0
1402,1468.56
1403,1321.3799999999999
1404,0.0
1405,3248.0
1406,5242.75
1407,950.04
1408,0.0
1409,0.0
1410,117.03
1411,1874.42
1412,3486.73
1413,2320.0
1415,2273.6
1416,1734.1200000000001
1417,13.86
1418,19.82
1419,2463.61
1421,1875.89
1422,406.0
1423,288.14
1424,0.0
1425,4621.26
1427,0.0
1428,0.0
1429,1287.6
1430,6252.4
1431,696.0
1432,16.54
1433,0.0
1434,1156.25
1435,1853.25
1437,0.0
1438,0.0
1439,4348.0
1440,0.0
1441,4524.93
1442,4683.62
1443,2929.7
1444,1136.8
1446,4640.0
1447,34.67
1449,2039.05
1450,3836.13
1451,820.41
1452,4284.25
1453,3271.2
1454,140.0
1455,3329.2
1456,1566.0
1457,0.0
1458,0.0
1459,15.219999999999999
1460,1617.5
1461,0.0
1462,0.0
1463,0.0
1464,3176.89
1465,5063.02
1467,4811.68
1468,5008.44
1469,872.36
1470,1702.9
1471,0.0
1472,0.0
1473,0.0
1475,7559.96
1476,275.44
1477,218.14000000000001
1478,0.0
1480,7099.2
1481,509.99
1482,2200.0
1483,140.0
1484,453.56
1485,0.0
1486,0.0
1487,227.0
1488,0.0
1489,2644.8
1490,0.0
1491,4393.15
1492,255.26000000000002
1493,497.64
1494,0.0
1495,2348.0
1496,1276.0
1498,3306.0
1499,323.57
1501,398.99
1502,2756.16
1503,146.81
1504,208.8
1505,603.2
1506,310.01
1507,310.01
1508,267.0
1509,0.0
1510,5724.6
1511,3938.2
1512,84.3
1513,98.13999999999999
1514,355.59000000000003
1515,0.0
1516,3248.31
1517,0.0
1518,5685.35
1522,0.0
1523,0.0
1524,6960.0
1525,255.2
1526,1453.79
1527,128.19
1528,1633.74
1529,2372.57
1530,1666.75
1532,1239.46
1533,452.4
1535,80.00999999999999
1536,1740.0
1537,2504.21
1538,0.0
1539,1160.0
1540,11.1
1541,0.0
1542,683.03
1543,0.0
1544,1870.96
1545,2350.0
1546,140.0
1547,0.0
1548,6264.0
1549,6264.0
1550,5348.0
1552,300.0
1553,219.93
1554,2273.6
1555,4685.0
1556,1083.18
1557,1740.0
1558,2021.94
1559,0.0
1561,496.48
1562,0.0
1563,0.0
1565,189.8
1566,59.57
1567,22.0
1569,464.0
1570,844.48
1571,0.0
1572,0.0
1573,5265.24
1574,4857.21
1575,6170.299999999999
1576,317.78
1578,0.0
1579,235.48999999999998
1580,143.0
1581,22.0
1582,191.47
1583,0.0
1584,5568.78
1585,3445.2
1586,389.76
1587,651.46
1588,80.0
1589,568.4
1590,121.8
1591,6186.39
1593,210.4
1594,2360.63
1595,0.0
1596,0.0
1598,7261.6
1599,2998.6
1600,1067.2
1601,348.3
1602,175.0
1603,448.59000000000003
1604,539.28
1605,4081.5
1606,5551.77
1607,5551.75
1608,1210.02
1610,0.0
1611,4766.5
1612,2262.0
1613,0.0
1614,4.67
1615,1809.6
1616,0.0
1617,2888.2400000000002
1618,0.0
1619,0.0
1620,698.0
1621,0.0
1622,6324.1900000000005
1623,0.0
1624,6960.0
1625,1160.0
1626,1900.0
1627,230.63
1629,199.51
1630,16.0
1631,3765.31
1632,53.0
1633,0.0
1634,0.0
1635,452.4
1636,178.0
1637,633.65
1638,928.0
1639,0.0
1640,5980.0
1641,87.43
1642,22.0
1643,0.0
1644,130.5
1646,0.0
1647,1321.3799999999999
1648,742.4
1649,6734.5
1651,0.0
1652,0.0
1653,0.0
1654,2470.8
1655,552.16
1656,1740.0
1657,5220.0
1658,3408.37
1659,622.08
1660,2793.52
1661,83.23
1662,157.49
1663,599.3299999999999
1665,0.0
1666,0.0
1668,5348.0
1669,0.0
1670,200.0
1672,599.0
1673,0.0
1674,0.0
1675,0.0
1676,218.13
1677,643.73
1678,638.0
1679,348.0
1680,3792.5
1683,870.0
1684,0.0
1685,0.0
1686,0.0
1687,189.85999999999999
1688,82.0
1689,244.42000000000002
1690,5920.650000000001
1692,2764.98
1694,2307.24
1695,103.80000000000001
1696,5737.41
1697,129.92000000000002
1698,2020.0
1699,6960.0
1700,509.24
1701,5980.96
1702,615.26
1703,175.0
1705,700.0
1706,185.62
1707,1825.6399999999999
1708,1825.6399999999999
1709,1825.6399999999999
1710,1630.09
1711,1630.09
1712,1825.6399999999999
1713,1825.6399999999999
1714,1825.6399999999999
1715,1630.09
1716,1825.6399999999999
1717,1825.6399999999999
1718,1825.6399999999999
1719,1630.09
1720,1630.09
1721,-1630.09
1722,-1825.6399999999999
1723,-1630.09
1724,-1825.6399999999999
1725,-1825.6399999999999
1726,-1825.6399999999999
1727,-1630.09
1728,-1825.6399999999999
1729,-1825.6399999999999
1730,-1630.09
1731,-1630.09
1732,-1825.6399999999999
1733,-1825.6399999999999
1734,-1825.6399999999999
1735,5000.01
1736,2401.2
1737,1392.0
1738,4627.99
1739,401.36
1741,6735.53
1742,2320.0
1744,2231.58
1746,727.5600000000001
1747,3597.99
1748,445.52
1749,174.02
1750,2900.0
1751,1450.0
1752,1809.6
1754,7621.2
1755,1341.8899999999999
1756,6867.78
1757,1339.8
1758,762.7
1759,5348.0
1760,0.0
1761,300.0
1762,150.0
1763,200.0
1764,128.02
1765,0.0
1766,1450.0
1767,305.34000000000003
1768,140.0
1769,0.0
1770,210.0
1771,0.0
1772,179.70000000000002
1773,36.0
1774,267.0
1775,170.0
1776,1513.8
1777,1995.2
1779,300.0
1780,530.79
1781,300.0
1782,2296.8
1783,391.33000000000004
1784,1446.08
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,5757.3099999999995
1791,3825.77
1792,1392.0
1793,1667.72
1794,10.72
1795,139.0
1796,306.24
1797,1160.0
1799,126.58000000000001
1800,6515.0199999999995
1801,6857.219999999999
1802,0.0
1803,0.0
1804,1503.3600000000001
1805,417.6
1806,924.52
1807,1915.16
1808,7.6
1809,1809.6
1810,391.92999999999995
1811,0.0
1812,6902.09
1814,3616.88
1815,4547.2
1816,464.0
1817,7200.4400000000005
1819,758.0
1820,1548.92
1821,626.0400000000001
1823,505.76
1824,1740.0
1825,4321.0
1827,358.96
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,1659.69
1841,0.0
1842,2906.98
1843,0.0
1844,5255.3099999999995
1845,5507.5599999999995
1847,0.0
1848,0.0
1849,0.0
1850,140.0
1851,0.0
1853,765.6
1854,3016.0
1855,0.0
1856,1310.22
1860,100.0
1861,78.0
1862,3950.0
1863,0.0
1864,300.0
1865,500.0
1866,362.93
1867,300.0
1868,189.15
1869,1574.82
1871,4092.9
1872,1786.4
1873,120.06
1874,0.0
1875,0.0
1876,341.33
1877,3348.0
1878,3348.0
1879,2116.05
1880,0.0
1881,0.0
